Opponent,Stadium,Bat,Worldcup Match,Captain,Half Century
 Australia,Darren Sammy National Cricket Stadium,second,yes,no,N
England,Kensington Oval,first,yes,no,N
New Zealand,Kensington Oval,second,yes,no,N
South Africa,Darren Sammy National Cricket Stadium,first,yes,no,N
Bangladesh,Shere Bangla National Stadium,first,no,no,N
India,M Chinnaswamy Stadium,second,no,yes,Y
India,Sardar Patel Stadium,second,no,yes,Y
Australia,Dubai International Cricket Stadium,first,no,yes,N
Australia,Dubai International Cricket Stadium,first,no,yes,N
Australia,Dubai International Cricket Stadium,second,no,yes,N
South Africa,SuperSport Park,first,no,yes,Y
Afghanistan,Sharjah Cricket Stadium,second,no,yes,N
India,Shere Bangla National Stadium,first,yes,yes,N
Australia,Shere Bangla National Stadium,first,yes,yes,N
Bangladesh,Shere Bangla National Stadium,first,yes,yes,N
 West Indies,Shere Bangla National Stadium,second,yes,yes,N
South Africa,Dubai International Cricket Stadium,first,no,yes,N
South Africa,Dubai International Cricket Stadium,second,no,yes,N
Bangladesh,Shere Bangla National Stadium,second,no,no,Y
Zimbabwe,Harare Sports Club,first,no,no,Y
Zimbabwe,Harare Sports Club,first,no,no,Y
New Zealand,Pallekele International Cricket Stadium,first,yes,no,N
Bangladesh,Pallekele International Cricket Stadium,second,yes,no,N
South Africa,R Premadasa Stadium,second,yes,no,N
India,R Premadasa Stadium,first,yes,no,N
Australia,R Premadasa Stadium,first,yes,no,N
Sri Lanka,R Premadasa Stadium,second,yes,no,N
Bangladesh,Eden Gardens,first,yes,no,Y
India,Eden Gardens,first,yes,no,N
New Zealand,Sheikh Zayed Stadium,first,no,no,N
New Zealand,Dubai International Cricket Stadium,second,no,no,N
New Zealand,Dubai International Cricket Stadium,first,no,no,N
Bangladesh,Gaddafi Stadium,second,no,no,N
Bangladesh,Gaddafi Stadium,second,no,no,Y
West Indies,Arnos Vale Ground,first,no,yes,N
West Indies,Arnos Vale Ground,second,no,yes,N
New Zealand,Eden Park,first,no,no,Y
New Zealand,Seddon Park,first,no,no,Y
New Zealand,AMI Stadium,second,no,no,Y
England,County Ground (Bristol),second,no,no,N
South Africa,Wanderers Stadium,first,no,no,Y
Kenya,Gymkhana Club Ground,second,no,no,N
Scotland,Kingsmead,first,no,no,N
Sri Lanka,Wanderers Stadium,first,no,no,N
Australia,Wanderers Stadium,second,no,no,Y
Bangladesh,Newlands,second,no,no,Y
New Zealand,Newlands,second,no,no,N
India,Wanderers Stadium,second,no,no,N
Scotland,Kingsmead,first,yes,no,N
New Zealand,Newlands,second,yes,no,N
